"start_station_name","end_station_name","total_trips_2014","avg_duration.x","total_trips_2015","avg_duration.y","trip_change","percent_change"
"5th at Howard","Spear at Folsom",4,539.5,2,610.5,-2,-50
"5th at Howard","Steuart at Market",3,877,7,588.857142857143,4,133.333333333333
"5th at Howard","Temporary Transbay Terminal (Howard at Beale)",9,5648,10,1003.2,1,11.1111111111111
"5th at Howard","Townsend at 7th",7,585.714285714286,1,538,-6,-85.7142857142857
"5th at Howard","Washington at Kearny",2,519.5,2,1749,0,0
"5th at Howard","Yerba Buena Center of the Arts (3rd @ Howard)",NA,NA,1,177,NA,NA
"Adobe on Almaden","Arena Green / SAP Center",NA,NA,1,325,NA,NA
"Adobe on Almaden","Japantown",NA,NA,3,787.666666666667,NA,NA
"Adobe on Almaden","Paseo de San Antonio",NA,NA,1,321,NA,NA
"Adobe on Almaden","San Jose Civic Center",NA,NA,1,275,NA,NA
"Adobe on Almaden","San Jose Diridon Caltrain Station",6,287.5,5,248.4,-1,-16.6666666666667
"Adobe on Almaden","Santa Clara at Almaden",1,267,NA,NA,NA,NA
"Adobe on Almaden","SJSU - San Salvador at 9th",4,554.5,NA,NA,NA,NA
"Adobe on Almaden","SJSU 4th at San Carlos",NA,NA,1,363,NA,NA
"Adobe on Almaden","St James Park",NA,NA,1,753,NA,NA
"Arena Green / SAP Center","Adobe on Almaden",1,715339,NA,NA,NA,NA
"Arena Green / SAP Center","Arena Green / SAP Center",3,2126.33333333333,4,1316.75,1,33.3333333333333
"Arena Green / SAP Center","Ryland Park",1,753,NA,NA,NA,NA
"Arena Green / SAP Center","San Jose Civic Center",1,2009,NA,NA,NA,NA
"Arena Green / SAP Center","San Jose Diridon Caltrain Station",2,54312,1,132,-1,-50
"Arena Green / SAP Center","San Pedro Square",NA,NA,2,273,NA,NA
"Arena Green / SAP Center","San Salvador at 1st",NA,NA,1,95920,NA,NA
"Arena Green / SAP Center","Santa Clara at Almaden",3,203.333333333333,2,166,-1,-33.3333333333333
"Arena Green / SAP Center","Santa Clara County Civic Center",4,1277,NA,NA,NA,NA
"Arena Green / SAP Center","SJSU 4th at San Carlos",1,432,1,1434,0,0
"Arena Green / SAP Center","St James Park",5,422.4,NA,NA,NA,NA
"Beale at Market","2nd at Folsom",1,270,1,468,0,0
"Beale at Market","2nd at South Park",10,1689.1,4,258,-6,-60
"Beale at Market","2nd at Townsend",5,673.4,10,450.7,5,100
"Beale at Market","Beale at Market",4,1377.5,1,739,-3,-75
"Beale at Market","Broadway St at Battery St",12,2847.75,22,325.727272727273,10,83.3333333333333
"Beale at Market","Civic Center BART (7th at Market)",1,864,NA,NA,NA,NA
"Beale at Market","Clay at Battery",1,263,1,125,0,0
"Beale at Market","Commercial at Montgomery",8,237,9,281.333333333333,1,12.5
"Beale at Market","Davis at Jackson",2,1149.5,6,290.666666666667,4,200
"Beale at Market","Embarcadero at Bryant",5,427.6,1,385,-4,-80
"Beale at Market","Embarcadero at Sansome",15,538.533333333333,7,756.714285714286,-8,-53.3333333333333
"Beale at Market","Embarcadero at Vallejo",12,311.083333333333,8,2077.25,-4,-33.3333333333333
"Beale at Market","Grant Avenue at Columbus Avenue",1,556,5,1554.8,4,400
"Beale at Market","Harry Bridges Plaza (Ferry Building)",10,160.7,4,378.25,-6,-60
"Beale at Market","Howard at 2nd",3,292,4,306,1,33.3333333333333
"Beale at Market","Market at 10th",2,840.5,5,1931.2,3,150
"Beale at Market","Market at 4th",4,410,2,366,-2,-50
"Beale at Market","Market at Sansome",5,1387.4,1,207,-4,-80
"Beale at Market","Mechanics Plaza (Market at Battery)",2,123,2,275,0,0
"Beale at Market","Post at Kearny",1,281,2,846.5,1,100
"Beale at Market","Powell at Post (Union Square)",1,467,1,429,0,0
"Beale at Market","Powell Street BART",1,578,9,3725.11111111111,8,800
"Beale at Market","San Francisco Caltrain (Townsend at 4th)",26,732.192307692308,28,706.607142857143,2,7.69230769230769
"Beale at Market","San Francisco Caltrain 2 (330 Townsend)",13,742.615384615385,9,740.666666666667,-4,-30.7692307692308
"Beale at Market","San Francisco City Hall",1,795,NA,NA,NA,NA
"Beale at Market","South Van Ness at Market",1,904,1,939,0,0
"Beale at Market","Spear at Folsom",11,270.818181818182,2,296,-9,-81.8181818181818
"Beale at Market","Steuart at Market",NA,NA,2,293,NA,NA
"Beale at Market","Temporary Transbay Terminal (Howard at Beale)",20,113.2,8,143,-12,-60
"Beale at Market","Townsend at 7th",2,1357,NA,NA,NA,NA
"Beale at Market","Washington at Kearny",NA,NA,4,452.5,NA,NA
"Broadway at Main","California Ave Caltrain Station",1,3347,NA,NA,NA,NA
"Broadway at Main","San Mateo County Center",1,354,NA,NA,NA,NA
